Model,MDO34
Firmware Version,1.15.18

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,-0.504
Sample Interval,2e-07
Record Length,1e+07
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,10
Vertical Position,-1



Label
TIME,CH2
-1.5040000e+00,12.8
-1.5039998e+00,14.4
-1.5039996e+00,10.4
-1.5039994e+00,14
-1.5039992e+00,14.8
-1.5039990e+00,12.4
-1.5039988e+00,14.4
-1.5039986e+00,13.6
-1.5039984e+00,14.4
-1.5039982e+00,14
